Timestamp,Average Energy,Dominant Genome,Average Lifespan,Average Children,Epoch,Total Animals,Total Grass,Empty Squares,TrackedAnimalID,TrackedAnimalEnergy,TrackedAnimalLifespan,TrackedAnimalChildren,TrackedAnimalPosition,TrackedAnimalDirection
2025-01-24 02:19:33,49.08,10421,0.0,0.0,1,13,13,97,,,,,,,
2025-01-24 02:19:34,49.0,10421,1.0,0.0,2,13,15,93,,,,,,,
2025-01-24 02:19:44,49.54,10421,1.0,0.0,3,13,16,90,5,47,3,2,"(1,3)",4
2025-01-24 02:19:45,48.64,10421,1.0,0.0,4,14,16,88,5,46,4,2,"(1,2)",5
2025-01-24 02:19:46,48.56,10421,1.0,0.0,5,16,18,88,5,45,5,2,"(1,3)",1
2025-01-24 02:19:47,50.69,10421,1.0,0.0,6,16,15,87,5,54,6,2,"(2,4)",2
2025-01-24 02:19:48,50.31,10421,1.0,0.0,7,16,16,87,5,53,7,2,"(3,5)",2
2025-01-24 02:20:00,49.95,10421,1.0,0.0,8,19,15,89,5,52,8,2,"(4,4)",4
2025-01-24 02:20:01,49.5,10421,1.0,0.0,9,20,16,84,5,51,9,2,"(4,3)",5
2025-01-24 02:20:02,50.0,10421,1.0,0.0,10,20,12,84,5,50,10,2,"(4,4)",1
2025-01-24 02:20:03,48.74,10421,3.0,0.0,11,19,9,87,5,49,11,2,"(5,5)",2
2025-01-24 02:20:04,47.74,10421,3.0,0.0,12,19,12,87,5,48,12,2,"(6,6)",2
2025-01-24 02:20:05,46.74,23304,3.0,0.0,13,19,14,84,5,47,13,2,"(7,5)",4
2025-01-24 02:20:06,46.26,23304,3.0,0.0,14,19,14,83,5,46,14,2,"(7,4)",5
